Path (w/ version number), Path,  Groups,  Type,  Total Count,  Total Rate (Hz),  Pure Count,  Pure Rate (Hz)
Total Misc, Total Misc,  ,  , 11044, 39788.49
Status_OnCPU, Status_OnCPU,  ,  , 11044, 39788.49, 0, 0.0
HLT_HIMinimumBiasHF1AND_v1, HLT_HIMinimumBiasHF1AND_v,  ,  , 4999, 18010.02, 3735, 13456.18
AlCa_EcalPhiSymForHI_v6, AlCa_EcalPhiSymForHI_v,  ,  , 3309, 11921.42, 0, 0.0
Dataset_AlCaPhiSym, Dataset_AlCaPhiSym,  ,  , 3309, 11921.42, 0, 0.0
DST_Physics_v9, DST_Physics_v,  ,  , 1109, 3995.42, 0, 0.0
Dataset_L1Accept, Dataset_L1Accept,  ,  , 1109, 3995.42, 0, 0.0
HLT_HIUPC_MBHF1AND_PixelTrackMultiplicity40400_v5, HLT_HIUPC_MBHF1AND_PixelTrackMultiplicity40400_v,  ,  , 1066, 3840.5, 0, 0.0
Dataset_HIForward0, Dataset_HIForward,  ,  , 546, 1967.09, 0, 0.0
Dataset_HIForward1, Dataset_HIForward,  ,  , 539, 1941.87, 0, 0.0
Dataset_HIForward2, Dataset_HIForward,  ,  , 536, 1931.06, 0, 0.0
Dataset_AlCaP0, Dataset_AlCaP,  ,  , 467, 1682.47, 0, 0.0
HLT_HIL3DoubleMu0_M0toInf_Open_v1, HLT_HIL3DoubleMu0_M0toInf_Open_v,  ,  , 338, 1217.72, 91, 327.85
AlCa_EcalPi0EBonlyForHI_v6, AlCa_EcalPi0EBonlyForHI_v,  ,  , 333, 1199.71, 0, 0.0
Dataset_HIPhysicsRawPrime11, Dataset_HIPhysicsRawPrime,  ,  , 176, 634.08, 0, 0.0
Dataset_HIPhysicsRawPrime0, Dataset_HIPhysicsRawPrime,  ,  , 175, 630.48, 0, 0.0
Dataset_HIPhysicsRawPrime2, Dataset_HIPhysicsRawPrime,  ,  , 175, 630.48, 0, 0.0
Dataset_HIPhysicsRawPrime1, Dataset_HIPhysicsRawPrime,  ,  , 174, 626.87, 0, 0.0
Dataset_HIPhysicsRawPrime7, Dataset_HIPhysicsRawPrime,  ,  , 173, 623.27, 0, 0.0
Dataset_HIPhysicsRawPrime14, Dataset_HIPhysicsRawPrime,  ,  , 173, 623.27, 0, 0.0
Dataset_HIPhysicsRawPrime31, Dataset_HIPhysicsRawPrime,  ,  , 173, 623.27, 0, 0.0
Dataset_HIPhysicsRawPrime3, Dataset_HIPhysicsRawPrime,  ,  , 172, 619.67, 0, 0.0
Dataset_HIPhysicsRawPrime8, Dataset_HIPhysicsRawPrime,  ,  , 172, 619.67, 0, 0.0
Dataset_HIPhysicsRawPrime9, Dataset_HIPhysicsRawPrime,  ,  , 172, 619.67, 0, 0.0
Dataset_HIPhysicsRawPrime10, Dataset_HIPhysicsRawPrime,  ,  , 172, 619.67, 0, 0.0
Dataset_HIPhysicsRawPrime12, Dataset_HIPhysicsRawPrime,  ,  , 172, 619.67, 0, 0.0
Dataset_HIPhysicsRawPrime13, Dataset_HIPhysicsRawPrime,  ,  , 172, 619.67, 0, 0.0
Dataset_HIPhysicsRawPrime5, Dataset_HIPhysicsRawPrime,  ,  , 171, 616.07, 0, 0.0
Dataset_HIPhysicsRawPrime17, Dataset_HIPhysicsRawPrime,  ,  , 171, 616.07, 0, 0.0
Dataset_HIPhysicsRawPrime15, Dataset_HIPhysicsRawPrime,  ,  , 170, 612.46, 0, 0.0
Dataset_HIPhysicsRawPrime18, Dataset_HIPhysicsRawPrime,  ,  , 170, 612.46, 0, 0.0
Dataset_HIPhysicsRawPrime30, Dataset_HIPhysicsRawPrime,  ,  , 170, 612.46, 0, 0.0
Dataset_HIPhysicsRawPrime6, Dataset_HIPhysicsRawPrime,  ,  , 169, 608.86, 0, 0.0
Dataset_HIPhysicsRawPrime4, Dataset_HIPhysicsRawPrime,  ,  , 168, 605.26, 0, 0.0
Dataset_HIPhysicsRawPrime29, Dataset_HIPhysicsRawPrime,  ,  , 168, 605.26, 0, 0.0
Dataset_HIPhysicsRawPrime16, Dataset_HIPhysicsRawPrime,  ,  , 167, 601.66, 0, 0.0
Dataset_HIPhysicsRawPrime19, Dataset_HIPhysicsRawPrime,  ,  , 166, 598.05, 0, 0.0
Dataset_HIPhysicsRawPrime21, Dataset_HIPhysicsRawPrime,  ,  , 166, 598.05, 0, 0.0
Dataset_HIPhysicsRawPrime25, Dataset_HIPhysicsRawPrime,  ,  , 166, 598.05, 0, 0.0
Dataset_HIPhysicsRawPrime20, Dataset_HIPhysicsRawPrime,  ,  , 165, 594.45, 0, 0.0
Dataset_HIPhysicsRawPrime23, Dataset_HIPhysicsRawPrime,  ,  , 165, 594.45, 0, 0.0
Dataset_HIPhysicsRawPrime24, Dataset_HIPhysicsRawPrime,  ,  , 165, 594.45, 0, 0.0
Dataset_HIPhysicsRawPrime22, Dataset_HIPhysicsRawPrime,  ,  , 164, 590.85, 0, 0.0
Dataset_HIPhysicsRawPrime26, Dataset_HIPhysicsRawPrime,  ,  , 164, 590.85, 0, 0.0
Dataset_HIPhysicsRawPrime27, Dataset_HIPhysicsRawPrime,  ,  , 164, 590.85, 0, 0.0
Dataset_HIPhysicsRawPrime28, Dataset_HIPhysicsRawPrime,  ,  , 163, 587.24, 0, 0.0
HLT_HIUPC_SingleJet16_NotMBHF2_v1, HLT_HIUPC_SingleJet16_NotMBHF2_v,  ,  , 162, 583.64, 157, 565.63
HLT_HIL1_UCC_0_1_v1, HLT_HIL1_UCC_0_1_v,  ,  , 137, 493.57, 38, 136.9
HLT_HIUPC_SingleMuCosmic_NotMBHF2AND_v5, HLT_HIUPC_SingleMuCosmic_NotMBHF2AND_v,  ,  , 124, 446.74, 0, 0.0
HLT_HIUPC_SingleMuCosmic_NotMBHF2AND_MaxPixelTrack_v5, HLT_HIUPC_SingleMuCosmic_NotMBHF2AND_MaxPixelTrack_v,  ,  , 124, 446.74, 0, 0.0
AlCa_EcalPi0EEonlyForHI_v6, AlCa_EcalPi0EEonlyForHI_v,  ,  , 121, 435.93, 0, 0.0
HLT_HIUPC_SingleMuOpen_NotMBHF2AND_v7, HLT_HIUPC_SingleMuOpen_NotMBHF2AND_v,  ,  , 118, 425.12, 0, 0.0
HLT_HIUPC_SingleMuOpen_NotMBHF2AND_MaxPixelTrack_v7, HLT_HIUPC_SingleMuOpen_NotMBHF2AND_MaxPixelTrack_v,  ,  , 118, 425.12, 0, 0.0
HLT_HIUPC_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMBHF2AND_v5, HLT_HIUPC_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMBHF2AND_v,  ,  , 118, 425.12, 0, 0.0
HLT_HIUPC_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMBHF2AND_MaxPixelTrack_v5, HLT_HIUPC_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMBHF2AND_MaxPixelTrack_v,  ,  , 118, 425.12, 0, 0.0
HLT_HIUPC_SingleMuCosmic_NotMBHF2OR_v5, HLT_HIUPC_SingleMuCosmic_NotMBHF2OR_v,  ,  , 113, 407.11, 0, 0.0
HLT_HIUPC_SingleMuCosmic_NotMBHF2OR_MaxPixelTrack_v5, HLT_HIUPC_SingleMuCosmic_NotMBHF2OR_MaxPixelTrack_v,  ,  , 113, 407.11, 0, 0.0
HLT_HIUPC_SingleMuOpen_NotMBHF2OR_v7, HLT_HIUPC_SingleMuOpen_NotMBHF2OR_v,  ,  , 108, 389.09, 0, 0.0
HLT_HIUPC_SingleMuOpen_NotMBHF2OR_MaxPixelTrack_v7, HLT_HIUPC_SingleMuOpen_NotMBHF2OR_MaxPixelTrack_v,  ,  , 108, 389.09, 0, 0.0
HLT_HIUPC_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMBHF2OR_v5, HLT_HIUPC_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMBHF2OR_v,  ,  , 108, 389.09, 0, 0.0
HLT_HIUPC_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMBHF2OR_MaxPixelTrack_v5, HLT_HIUPC_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMBHF2OR_MaxPixelTrack_v,  ,  , 108, 389.09, 0, 0.0
HLT_HIL3DoubleMu0_Quarkonia_Open_v1, HLT_HIL3DoubleMu0_Quarkonia_Open_v,  ,  , 107, 385.49, 0, 0.0
HLT_HIUPC_SingleJet24_NotMBHF2_v1, HLT_HIUPC_SingleJet24_NotMBHF2_v,  ,  , 106, 381.89, 101, 363.88
HLT_HIL2DoubleMu0_M1p5to6_Open_v1, HLT_HIL2DoubleMu0_M1p5to6_Open_v,  ,  , 95, 342.26, 3, 10.81
HLT_HIL3DoubleMu0_M2to4p5_Open_v1, HLT_HIL3DoubleMu0_M2to4p5_Open_v,  ,  , 85, 306.23, 0, 0.0
HLT_HIDmesonPPOnAATrackingGlobal_Dpt60_v1, HLT_HIDmesonPPOnAATrackingGlobal_Dpt60_v,  ,  , 81, 291.82, 43, 154.92
AlCa_EcalEtaEBonlyForHI_v6, AlCa_EcalEtaEBonlyForHI_v,  ,  , 80, 288.22, 0, 0.0
HLT_HIUPC_SingleEG5_NotMBHF2AND_v7, HLT_HIUPC_SingleEG5_NotMBHF2AND_v,  ,  , 71, 255.79, 53, 190.94
Dataset_HIMinimumBias3, Dataset_HIMinimumBias,  ,  , 64, 230.57, 0, 0.0
Dataset_HIMinimumBias1, Dataset_HIMinimumBias,  ,  , 63, 226.97, 0, 0.0
HLT_HIL1_UCC_0_0p5_v1, HLT_HIL1_UCC_0_0p5_v,  ,  , 62, 223.37, 0, 0.0
Dataset_HIMinimumBias0, Dataset_HIMinimumBias,  ,  , 62, 223.37, 0, 0.0
Dataset_HIMinimumBias2, Dataset_HIMinimumBias,  ,  , 61, 219.77, 0, 0.0
Dataset_HIExpressPhysicsRawPrime, Dataset_HIExpressPhysicsRawPrime,  ,  , 60, 216.16, 0, 0.0
HLT_HIL2DoubleMu0_M7to15_Open_v1, HLT_HIL2DoubleMu0_M7to15_Open_v,  ,  , 56, 201.75, 2, 7.21
HLT_HIL3DoubleMu0_M7to15_Open_v1, HLT_HIL3DoubleMu0_M7to15_Open_v,  ,  , 56, 201.75, 0, 0.0
HLT_HIUPC_DoubleMuOpen_BptxAND_MaxPixelTrack_v7, HLT_HIUPC_DoubleMuOpen_BptxAND_MaxPixelTrack_v,  ,  , 55, 198.15, 20, 72.05
HLT_HIL1SingleMu7_SingleGEDPhoton10_v1, HLT_HIL1SingleMu7_SingleGEDPhoton10_v,  ,  , 54, 194.55, 16, 57.64
Dataset_HIExpressPhysics, Dataset_HIExpressPhysics,  ,  , 37, 133.3, 0, 0.0
HLT_HIUPC_SingleMuOpen_BptxAND_MaxPixelTrack_v7, HLT_HIUPC_SingleMuOpen_BptxAND_MaxPixelTrack_v,  ,  , 35, 126.1, 16, 57.64
HLT_HIL3DoubleMu2_Quarkonia_Open_v1, HLT_HIL3DoubleMu2_Quarkonia_Open_v,  ,  , 34, 122.49, 0, 0.0
HLT_HIUPC_DoubleMuCosmic_NotMBHF2AND_MaxPixelTrack_v5, HLT_HIUPC_DoubleMuCosmic_NotMBHF2AND_MaxPixelTrack_v,  ,  , 31, 111.68, 0, 0.0
HLT_HIUPC_DoubleMuCosmic_NotMBHF2AND_v5, HLT_HIUPC_DoubleMuCosmic_NotMBHF2AND_v,  ,  , 31, 111.68, 0, 0.0
HLT_HIL3DoubleMu2_M2to4p5_Open_v1, HLT_HIL3DoubleMu2_M2to4p5_Open_v,  ,  , 30, 108.08, 0, 0.0
HLT_HIL3DoubleMu2_M7to15_Open_v1, HLT_HIL3DoubleMu2_M7to15_Open_v,  ,  , 24, 86.47, 0, 0.0
HLT_HIUPC_DoubleMuOpen_NotMBHF2AND_v5, HLT_HIUPC_DoubleMuOpen_NotMBHF2AND_v,  ,  , 23, 82.86, 0, 0.0
HLT_HIUPC_DoubleMuOpen_NotMBHF2AND_MaxPixelTrack_v5, HLT_HIUPC_DoubleMuOpen_NotMBHF2AND_MaxPixelTrack_v,  ,  , 23, 82.86, 0, 0.0
HLT_HIUPC_SingleJet12_NotMBHF2_v1, HLT_HIUPC_SingleJet12_NotMBHF2_v,  ,  , 23, 82.86, 22, 79.26
HLT_HIL3SingleMu3_SinglePuAK4CaloJet40_v1, HLT_HIL3SingleMu3_SinglePuAK4CaloJet40_v,  ,  , 21, 75.66, 8, 28.82
HLT_HIUPC_SingleJet8_NotMBHF2_v1, HLT_HIUPC_SingleJet8_NotMBHF2_v,  ,  , 17, 61.25, 17, 61.25
HLT_HIL2DoubleMu3_M7to15_Open_v1, HLT_HIL2DoubleMu3_M7to15_Open_v,  ,  , 15, 54.04, 0, 0.0
HLT_HIDmesonPPOnAATrackingGlobal_Dpt45_v1, HLT_HIDmesonPPOnAATrackingGlobal_Dpt45_v,  ,  , 15, 54.04, 5, 18.01
HLT_HIL2DoubleMu2p8_M1p5to6_Open_v1, HLT_HIL2DoubleMu2p8_M1p5to6_Open_v,  ,  , 14, 50.44, 0, 0.0
HLT_HIDmesonPPOnAATrackingGlobal_Dpt30_v1, HLT_HIDmesonPPOnAATrackingGlobal_Dpt30_v,  ,  , 13, 46.84, 5, 18.01
HLT_HIUPC_SingleEG5_NotMBHF2AND_SinglePixelTrack_MaxPixelTrack_v7, HLT_HIUPC_SingleEG5_NotMBHF2AND_SinglePixelTrack_MaxPixelTrack_v,  ,  , 12, 43.23, 0, 0.0
Dataset_HIOnlineMonitor, Dataset_HIOnlineMonitor,  ,  , 12, 43.23, 0, 0.0
HLT_HIGEDPhoton30_v7, HLT_HIGEDPhoton30_v,  ,  , 9, 32.42, 2, 7.21
Dataset_HIDQMOnlineBeamspot, Dataset_HIDQMOnlineBeamspot,  ,  , 9, 32.42, 0, 0.0
